시,구,년도,월,기존인구,전입,전출,전입-전출,전입+전출,순이동률,총이동률
수원시,권선구,2023,11,375574,3407,3617,-210,7024,-0.056,1.868
수원시,팔달구,2023,11,208791,2355,2515,-160,4870,-0.076,2.328
수원시,영통구,2023,11,371414,3995,4044,-49,8039,-0.013,2.164
수원시,장안구,2023,10,276234,3700,2760,940,6460,0.342,2.35
수원시,권선구,2023,10,376038,3407,3617,-210,7024,-0.056,1.865
수원시,팔달구,2023,10,209199,2355,2515,-160,4870,-0.077,2.334
수원시,영통구,2023,10,371428,3995,4044,-49,8039,-0.013,2.166
수원시,장안구,2023,9,274907,2260,2573,-313,4833,-0.114,1.756
수원시,권선구,2023,9,376585,3146,4085,-939,7231,-0.249,1.916
수원시,팔달구,2023,9,208612,4065,2321,1744,6386,0.843,3.087
수원시,영통구,2023,9,371221,4390,4365,25,8755,0.007,2.36
수원시,장안구,2023,8,275180,2645,3163,-518,5808,-0.188,2.106
수원시,권선구,2023,8,377490,4103,4780,-677,8883,-0.179,2.35
수원시,팔달구,2023,8,206859,5868,2841,3027,8709,1.485,4.273
수원시,영통구,2023,8,370999,6232,5956,276,12188,0.074,3.287
수원시,장안구,2023,7,275787,2609,2651,-42,5260,-0.015,1.907
수원시,권선구,2023,7,378077,4535,4127,408,8662,0.108,2.294
수원시,팔달구,2023,7,203817,1965,2456,-491,4421,-0.24,2.164
수원시,영통구,2023,7,370742,6426,5359,1067,11785,0.289,3.189
수원시,장안구,2023,6,275875,2959,2492,467,5451,0.17,1.979
수원시,권선구,2023,6,377578,4469,3787,682,8256,0.181,2.191
수원시,팔달구,2023,6,204317,2052,2313,-261,4365,-0.128,2.133
수원시,영통구,2023,6,369543,3681,4126,-445,7807,-0.12,2.11
수원시,장안구,2023,5,275487,2122,2449,-327,4571,-0.119,1.657
수원시,권선구,2023,5,376826,4103,3694,409,7797,0.109,2.072
수원시,팔달구,2023,5,204608,2035,2207,-172,4242,-0.084,2.072
